Type,Bit Error Rate,CodeRate,SNR
gallager,0.262731481481481,0.5,1
min-sum,0.30162037037037,0.5,1
attenuated,0.273024691358025,0.5,1
offset,0.263672839506173,0.5,1
default,0.261219135802469,0.5,1
gallager,0.241342592592593,0.5,2
min-sum,0.282160493827161,0.5,2
attenuated,0.253441358024691,0.5,2
offset,0.245555555555556,0.5,2
default,0.236836419753086,0.5,2
gallager,0.218503086419753,0.5,3
min-sum,0.265293209876543,0.5,3
attenuated,0.231604938271605,0.5,3
offset,0.223595679012346,0.5,3
default,0.209274691358025,0.5,3
gallager,0.19787037037037,0.5,4
min-sum,0.247314814814815,0.5,4
attenuated,0.208148148148148,0.5,4
offset,0.206975308641975,0.5,4
default,0.174722222222222,0.5,4
gallager,0.183533950617284,0.5,5
min-sum,0.232206790123457,0.5,5
attenuated,0.190941358024691,0.5,5
offset,0.191188271604938,0.5,5
default,0.136496913580247,0.5,5
gallager,0.173364197530864,0.5,6
min-sum,0.223163580246914,0.5,6
attenuated,0.173348765432099,0.5,6
offset,0.183487654320988,0.5,6
default,0.0606635802469136,0.5,6
gallager,0.168796296296296,0.5,7
min-sum,0.212592592592593,0.5,7
attenuated,0.158101851851852,0.5,7
offset,0.173194444444444,0.5,7
default,0.00308641975308642,0.5,7
gallager,0.162391975308642,0.5,8
attenuated,0.141358024691358,0.5,8
min-sum,0.200972222222222,0.5,8
default,0.000354938271604938,0.5,8
offset,0.165570987654321,0.5,8
gallager,0.164351851851852,0.5,9
min-sum,0.191358024691358,0.5,9
attenuated,0.130925925925926,0.5,9
gallager,0.165617283950617,0.5,10
min-sum,0.183456790123457,0.5,10
attenuated,0.116172839506173,0.5,10
gallager,0.15858024691358,0.5,11
min-sum,0.174413580246914,0.5,11
attenuated,0.10320987654321,0.5,11
gallager,0.16533950617284,0.5,12
min-sum,0.170462962962963,0.5,12
attenuated,0.0978395061728395,0.5,12
gallager,0.164444444444444,0.5,13
min-sum,0.167530864197531,0.5,13
attenuated,0.0878086419753086,0.5,13
gallager,0.161018518518519,0.5,14
min-sum,0.165833333333333,0.5,14
attenuated,0.0836111111111111,0.5,14
gallager,0.160771604938272,0.5,15
min-sum,0.16858024691358,0.5,15
attenuated,0.0782098765432099,0.5,15
gallager,0.16,0.5,16
min-sum,0.159166666666667,0.5,16
attenuated,0.0722222222222222,0.5,16
gallager,0.180679012345679,0.5,17
min-sum,0.160833333333333,0.5,17
attenuated,0.0733641975308642,0.5,17
gallager,0.426851851851852,0.5,18
attenuated,0.0715123456790124,0.5,18
min-sum,0.160895061728395,0.5,18
gallager,0.501635802469136,0.5,19
min-sum,0.154907407407407,0.5,19
attenuated,0.0715740740740741,0.5,19
gallager,0.500216049382716,0.5,20
min-sum,0.155246913580247,0.5,20
attenuated,0.0729012345679012,0.5,20
gallager,0.499043209876543,0.5,21
min-sum,0.152932098765432,0.5,21
attenuated,0.0671913580246914,0.5,21
gallager,0.494567901234568,0.5,22
min-sum,0.156697530864198,0.5,22
attenuated,0.0697839506172839,0.5,22
gallager,0.503425925925926,0.5,23
min-sum,0.156635802469136,0.5,23
attenuated,0.0737962962962963,0.5,23
gallager,0.496944444444444,0.5,24
min-sum,0.153672839506173,0.5,24
attenuated,0.085462962962963,0.5,24
