Type,Bit Error Rate,CodeRate,SNR,factor
gallager,0.171875,0.6666666666666666,5,0.5
gallager,0.21145833333333333,0.6666666666666666,3,0.5
gallager,0.18641203703703704,0.6666666666666666,4,0.5
gallager,0.15108796296296295,0.6666666666666666,6,0.5
gallager,0.2375,0.6666666666666666,2,0.5
gallager,0.1724537037037037,0.6666666666666666,11,0.5
gallager,0.1262037037037037,0.6666666666666666,10,0.5
gallager,0.26319444444444445,0.6666666666666666,1,0.5
gallager,0.13261574074074073,0.6666666666666666,7,0.5
gallager,0.2523148148148148,0.6666666666666666,12,0.5
gallager,0.1224537037037037,0.6666666666666666,8,0.5
gallager,0.11645833333333334,0.6666666666666666,9,0.5
gallager,0.3104861111111111,0.6666666666666666,13,0.5
gallager,0.380625,0.6666666666666666,14,0.5
gallager,0.46152777777777776,0.6666666666666666,15,0.5
gallager,0.4774305555555556,0.6666666666666666,16,0.5
gallager,0.2735416666666667,0.6666666666666666,19,0.5
gallager,0.45921296296296293,0.6666666666666666,17,0.5
gallager,0.19953703703703704,0.6666666666666666,20,0.5
gallager,0.3909259259259259,0.6666666666666666,18,0.5
gallager,0.007106481481481481,0.6666666666666666,23,0.5
gallager,0.13520833333333332,0.6666666666666666,21,0.5
gallager,0.04303240740740741,0.6666666666666666,22,0.5
gallager,0.00041666666666666664,0.6666666666666666,24,0.5
gallager,0.0,0.6666666666666666,25,0.5
gallager,0.0,0.6666666666666666,27,0.5
gallager,0.0,0.6666666666666666,31,0.5
gallager,0.0,0.6666666666666666,26,0.5
gallager,0.0,0.6666666666666666,29,0.5
gallager,0.0,0.6666666666666666,30,0.5
gallager,0.0,0.6666666666666666,28,0.5
gallager,0.0,0.6666666666666666,32,0.5
gallager,0.0,0.6666666666666666,33,0.5
gallager,0.0,0.6666666666666666,35,0.5
gallager,0.0,0.6666666666666666,34,0.5
gallager,0.0,0.6666666666666666,36,0.5
min-sum,0.27895833333333336,0.6666666666666666,1,0.5
min-sum,0.25703703703703706,0.6666666666666666,2,0.5
min-sum,0.2121759259259259,0.6666666666666666,4,0.5
min-sum,0.20041666666666666,0.6666666666666666,5,0.5
min-sum,0.14456018518518518,0.6666666666666666,9,0.5
min-sum,0.2320138888888889,0.6666666666666666,3,0.5
min-sum,0.18210648148148148,0.6666666666666666,6,0.5
min-sum,0.16703703703703704,0.6666666666666666,7,0.5
min-sum,0.15638888888888888,0.6666666666666666,8,0.5
gallager,0.0,0.6666666666666666,37,0.5
gallager,0.0,0.6666666666666666,39,0.5
gallager,0.0,0.6666666666666666,38,0.5
min-sum,0.13944444444444445,0.6666666666666666,10,0.5
min-sum,0.1568287037037037,0.6666666666666666,11,0.5
min-sum,0.21064814814814814,0.6666666666666666,12,0.5
min-sum,0.35155092592592596,0.6666666666666666,14,0.5
min-sum,0.47488425925925926,0.6666666666666666,16,0.5
min-sum,0.5320601851851852,0.6666666666666666,17,0.5
min-sum,0.27631944444444445,0.6666666666666666,13,0.5
min-sum,0.43622685185185184,0.6666666666666666,15,0.5
min-sum,0.5775925925925927,0.6666666666666666,18,0.5
min-sum,0.6245601851851852,0.6666666666666666,19,0.5
min-sum,0.6571759259259259,0.6666666666666666,20,0.5
min-sum,0.6731018518518518,0.6666666666666666,21,0.5
min-sum,0.7050231481481481,0.6666666666666666,22,0.5
min-sum,0.7257407407407407,0.6666666666666666,23,0.5
min-sum,0.7303703703703703,0.6666666666666666,24,0.5
min-sum,0.7358796296296296,0.6666666666666666,26,0.5
min-sum,0.7427083333333334,0.6666666666666666,25,0.5
min-sum,0.7412037037037037,0.6666666666666666,28,0.5
min-sum,0.7458796296296297,0.6666666666666666,27,0.5
min-sum,0.7501851851851852,0.6666666666666666,29,0.5
min-sum,0.7479398148148149,0.6666666666666666,30,0.5
min-sum,0.7408564814814815,0.6666666666666666,31,0.5
min-sum,0.7446759259259259,0.6666666666666666,32,0.5
min-sum,0.7485648148148148,0.6666666666666666,33,0.5
min-sum,0.7559027777777778,0.6666666666666666,34,0.5
min-sum,0.7471064814814815,0.6666666666666666,35,0.5
min-sum,0.7468287037037037,0.6666666666666666,36,0.5
min-sum,0.7597222222222222,0.6666666666666666,38,0.5
min-sum,0.7491898148148147,0.6666666666666666,39,0.5
min-sum,0.7628009259259259,0.6666666666666666,37,0.5
attenuated,0.2663657407407407,0.6666666666666666,1,0.5
attenuated,0.2438425925925926,0.6666666666666666,2,0.5
attenuated,0.2170601851851852,0.6666666666666666,3,0.5
attenuated,0.19462962962962962,0.6666666666666666,4,0.5
attenuated,0.17921296296296296,0.6666666666666666,5,0.5
attenuated,0.15891203703703705,0.6666666666666666,6,0.5
attenuated,0.1398148148148148,0.6666666666666666,7,0.5
attenuated,0.12333333333333334,0.6666666666666666,8,0.5
attenuated,0.11155092592592591,0.6666666666666666,9,0.5
attenuated,0.10141203703703704,0.6666666666666666,10,0.5
attenuated,0.13675925925925925,0.6666666666666666,12,0.5
attenuated,0.10097222222222221,0.6666666666666666,11,0.5
attenuated,0.18622685185185187,0.6666666666666666,13,0.5
attenuated,0.24935185185185185,0.6666666666666666,14,0.5
attenuated,0.31113425925925925,0.6666666666666666,15,0.5
attenuated,0.34800925925925924,0.6666666666666666,16,0.5
attenuated,0.3833796296296296,0.6666666666666666,17,0.5
attenuated,0.4298611111111111,0.6666666666666666,18,0.5
attenuated,0.48215277777777776,0.6666666666666666,19,0.5
attenuated,0.5268981481481482,0.6666666666666666,20,0.5
attenuated,0.5669907407407407,0.6666666666666666,21,0.5
attenuated,0.6462962962962963,0.6666666666666666,23,0.5
attenuated,0.6133796296296297,0.6666666666666666,22,0.5
attenuated,0.6706481481481482,0.6666666666666666,24,0.5
attenuated,0.6908333333333333,0.6666666666666666,25,0.5
attenuated,0.7062037037037037,0.6666666666666666,26,0.5
attenuated,0.7175925925925926,0.6666666666666666,27,0.5
attenuated,0.7259953703703703,0.6666666666666666,28,0.5
attenuated,0.7328935185185186,0.6666666666666666,29,0.5
attenuated,0.7377546296296296,0.6666666666666666,30,0.5
attenuated,0.7440972222222222,0.6666666666666666,35,0.5
attenuated,0.7409490740740741,0.6666666666666666,32,0.5
attenuated,0.74,0.6666666666666666,31,0.5
attenuated,0.7459027777777778,0.6666666666666666,33,0.5
attenuated,0.7437037037037036,0.6666666666666666,34,0.5
attenuated,0.746087962962963,0.6666666666666666,37,0.5
attenuated,0.7474537037037037,0.6666666666666666,36,0.5
